; oligo-analysis  -quick -v 1 -i data/leaderboard/test/CHS_participants.fasta -l 1 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/CHS/CHS_1nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Quick counting mode          
; Oligomer length              	1
; Input file                   	data/leaderboard/test/CHS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/CHS/CHS_1nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	751794
; Sum of sequence lengths      	226289994
; discarded residues           	NA (quick mode)	 (other letters than ACGT)
; discarded occurrences        	NA (quick mode)	 (contain discarded residues)
; nb possible positions        	NA (quick mode)
; total oligo occurrences      	226289993
; total overlapping occurrences	0
; total non overlapping occ    	226289993
; alphabet size                	4
; nb possible oligomers        	2
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
a	a|t	0.5478556181669	123974244	0	0
c	c|g	0.4521443818331	102315749	0	0
; Host name	core-login3
; Job started	2024-07-13.160640
; Job done	2024-07-13.160652
; Seconds	2.32
;	user	2.32
;	system	0.31
;	cuser	11.74
;	csystem	0.39
