; oligo-analysis  quick -v 1 -i data/leaderboard/test/SMS_participants.fasta -l 2 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/SMS/SMS_2nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	2
; Input file                   	data/leaderboard/test/SMS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/SMS/SMS_2nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	857981
; Sum of sequence lengths      	34319240
; discarded residues           	152	 (other letters than ACGT)
; discarded occurrences        	165	 (contain discarded residues)
; nb possible positions        	33461094
; total oligo occurrences      	33461094
; total overlapping occurrences	1825293
; total non overlapping occ    	31635801
; alphabet size                	4
; nb possible oligomers        	10
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
aa	aa|tt	0.1070815556718	3583066	939151	3475186
ac	ac|gt	0.1297984758060	4343199	0	4231363
ag	ag|ct	0.1174070100637	3928567	0	3827595
at	at|at	0.0667366703551	2233082	0	4360256
ca	ca|tg	0.1290104262580	4316830	0	4208351
cc	cc|gg	0.0990007379914	3312673	886142	3191453
cg	cg|cg	0.0561455342733	1878691	0	3658452
ga	ga|tc	0.1153330491824	3859170	0	3762245
gc	gc|gc	0.0563622635889	1885943	0	3663904
ta	ta|ta	0.0685745660318	2294580	0	4480714
; Host name	clust-slurm-client2
; Job started	2024-08-02.052453
; Job done	2024-08-02.052647
; Seconds	114.08
;	user	114.08
;	system	0.27
;	cuser	0
;	csystem	0
