; oligo-analysis  -quick -v 1 -i data/leaderboard/test/HTS_participants.fasta -l 2 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/HTS/HTS_2nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Quick counting mode          
; Oligomer length              	2
; Input file                   	data/leaderboard/test/HTS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/HTS/HTS_2nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	4668011
; Sum of sequence lengths      	186720440
; discarded residues           	NA (quick mode)	 (other letters than ACGT)
; discarded occurrences        	NA (quick mode)	 (contain discarded residues)
; nb possible positions        	NA (quick mode)
; total oligo occurrences      	182052268
; total overlapping occurrences	11157179
; total non overlapping occ    	170895089
; alphabet size                	4
; nb possible oligomers        	10
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
aa	aa|tt	0.0953171646288	17352706	4719292	17352706
ac	ac|gt	0.1319607619500	24023756	0	24023756
ag	ag|ct	0.1127141629458	20519869	0	20519869
at	at|at	0.0542075861422	9868614	0	9868614
ca	ca|tg	0.1283888152385	23373475	0	23373475
cc	cc|gg	0.1183568666115	21547136	6437887	21547136
cg	cg|cg	0.0656187375815	11946040	0	11946040
ga	ga|tc	0.1162186180509	21157863	0	21157863
gc	gc|gc	0.0616747988001	11228037	0	11228037
ta	ta|ta	0.0542569071427	9877593	0	9877593
; Host name	core-login3
; Job started	2024-07-13.152254
; Job done	2024-07-13.152337
; Seconds	12.93
;	user	12.93
;	system	0.88
;	cuser	42.27
;	csystem	0.36
