; oligo-analysis  -quick -v 1 -i data/leaderboard/test/GHTS_participants.fasta -l 1 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/GHTS/GHTS_1nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Quick counting mode          
; Oligomer length              	1
; Input file                   	data/leaderboard/test/GHTS_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/GHTS/GHTS_1nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	116931
; Sum of sequence lengths      	35196231
; discarded residues           	NA (quick mode)	 (other letters than ACGT)
; discarded occurrences        	NA (quick mode)	 (contain discarded residues)
; nb possible positions        	NA (quick mode)
; total oligo occurrences      	35196231
; total overlapping occurrences	0
; total non overlapping occ    	35196231
; alphabet size                	4
; nb possible oligomers        	2
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
a	a|t	0.5090197299819	17915576	0	0
c	c|g	0.4909802700181	17280655	0	0
; Host name	core-login3
; Job started	2024-07-13.160659
; Job done	2024-07-13.160706
; Seconds	0.57
;	user	0.57
;	system	0.25
;	cuser	2.3
;	csystem	4.41
