GABPA	YWE_B_AffSeq_C12_GABPA.C2	4387
PRDM5	YWK_B_AffSeq_B1_PRDM5.C2	1902
PRDM5	YWK_D_AffSeq_B1_PRDM5.C3	1169
PRDM5	YWQ_B_AffSeq_F7_PRDM5-FL.C1	220
PRDM5	YWQ_B_AffSeq_F7_PRDM5-FL.C2	931
PRDM5	YWQ_B_AffSeq_F7_PRDM5-FL.C3	588
SP140	YWQ_B_AffSeq_G2_SP140-DBD.C2	2245
SP140	YWQ_B_AffSeq_G2_SP140-DBD.C3	2294
ZNF362	YWH_B_AffSeq_F10_ZNF362.C3	88
ZNF362	YWK_B_AffSeq_E5_ZNF362.C2	147
ZNF362	YWK_D_AffSeq_E5_ZNF362.C2	157
ZNF407	YWL_B_AffSeq_A11_ZNF407.C2	489
ZNF407	YWL_B_AffSeq_A11_ZNF407.C3	420
ZNF407	YWL_B_AffSeq_A11_ZNF407.C4	321
