; oligo-analysis  quick -v 1 -i data/leaderboard/test/PBM_participants.fasta -l 1 -noov -2str -grouprc -format fasta -seqtype dna -type dna -return freq,occ -o bg_models/leaderboard/PBM/PBM_1nt-noov-2str.tsv
; Citation: van Helden et al. (1998). J Mol Biol 281(5), 827-42. 
; Program version              	1.169
; Slow counting mode           
; Oligomer length              	1
; Input file                   	data/leaderboard/test/PBM_participants.fasta
; Input format                 	fasta
; Output file                  	bg_models/leaderboard/PBM/PBM_1nt-noov-2str.tsv
; Discard overlapping matches
; Counted on both strands
; 	grouped by pairs of reverse complements
; Background model             	Bernoulli
; Background estimation method 	
; Sequence type                	DNA
; Nb of sequences              	40329
; Sum of sequence lengths      	2419740
; discarded residues           		 (other letters than ACGT)
; discarded occurrences        		 (contain discarded residues)
; nb possible positions        	2419740
; total oligo occurrences      	2419740
; total overlapping occurrences	0
; total non overlapping occ    	2419740
; alphabet size                	4
; nb possible oligomers        	2
; oligomers tested for significance	0
;
; column headers
;	1	seq            	oligomer sequence
;	2	id             	oligomer identifier
;	3	obs_freq       	observed relative frequency
;	4	occ            	observed occurrences
;	5	ovl_occ        	number of overlapping occurrences (discarded from the count)
;	6	forbocc        	forbidden positions (to avoid self-overlap)
#seq	id	obs_freq	occ	ovl_occ	forbocc
a	a|t	0.5248406853629	1269978	0	0
c	c|g	0.4751593146371	1149762	0	0
; Host name	core-login3
; Job started	2024-07-20.071917
; Job done	2024-07-20.071924
; Seconds	7.97
;	user	7.97
;	system	0.26
;	cuser	0
;	csystem	0
